abstain_precision,abstain_rate,abstain_recall,accuracy_when_gold_present,answer_acc_given_gold_selected,cite_f1,decomposition_line,drop_rate,entailment,exact_acc,gold_missing_rate,gold_present_rate,gold_support_selected_rate,mtime,pattern,rows,run_dir,run_name,selected_note_rate,selected_wrong_update_rate,selection_rate,spoof_accept_rate,state_integrity_rate,support_consistency_rate,value_acc,value_acc_when_gold_selected,value_is_substring_of_selected_line_rate,wrong_update_rate
,,,,,0.6796875,,,0.90625,0.5859375,,,,1767658458.7642713,runs,8,runs,runs,,,,,0.6875,,0.5859375,,,
1.0,0.15789473684210525,1.0,0.8333333333333334,1.0,0.8125,1.0000 -> 0.8125 -> 0.8333 -> 0.8333,0.1875,1.0,0.8125,0.15789473684210525,1.0,0.8125,1767351421.5837824,abstain_drop0.2_k4,3,runs\abstain_drop0.2_k4_s3q16,abstain_drop0.2_k4_s3q16,0.0,,0.8125,0.8461538461538461,,1.0,0.8333333333333334,1.0,1.0,0.0
1.0,0.2727272727272727,1.0,0.625,0.8,0.5,1.0000 -> 0.6250 -> 0.6250 -> 0.6250,0.375,0.875,0.5,0.2727272727272727,1.0,0.5,1767475204.3389966,abstain_drop0.3_k4_quick,1,runs\abstain_drop0.3_k4_quick,abstain_drop0.3_k4_quick,0.2,0.0,0.625,0.0,,1.0,0.625,0.8,1.0,0.0
1.0,0.30434782608695654,1.0,0.625,1.0,0.5625,1.0000 -> 0.5625 -> 0.6250 -> 0.6250,0.4375,1.0,0.5625,0.30434782608695654,1.0,0.5625,1767351425.8814597,abstain_drop0.4_k4,3,runs\abstain_drop0.4_k4_s3q16,abstain_drop0.4_k4_s3q16,0.0,,0.5625,0.8888888888888888,,1.0,0.625,1.0,1.0,0.0
,0.0,,0.75,0.75,0.75,1.0000 -> 1.0000 -> 0.7500 -> 0.7500,0.0,0.75,0.75,0.0,1.0,0.75,1767475097.178402,abstain_drop0_k4_quick,1,runs\abstain_drop0_k4_quick,abstain_drop0_k4_quick,0.25,0.0,1.0,0.0,,1.0,0.75,0.75,1.0,0.0
,0.0,,1.0,1.0,1.0,1.0000 -> 1.0000 -> 1.0000 -> 1.0000,0.0,1.0,1.0,0.0,1.0,1.0,1767351419.3671985,abstain_drop0_k4,3,runs\abstain_drop0_k4_s3q16,abstain_drop0_k4_s3q16,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0
1.0,0.15789473684210525,1.0,0.0625,0.05714285714285714,0.7291666666666666,1.0000 -> 0.7292 -> 0.0625 -> 0.0625,0.1875,0.22916666666666666,0.041666666666666664,0.15789473684210525,1.0,0.7291666666666666,1767419958.5434108,abstain_update_burst_k8_rate0.34_drop0.2,3,runs\abstain_update_burst_k8_rate0.34_drop0.2_s3q16,abstain_update_burst_k8_rate0.34_drop0.2_s3q16,0.0,1.0,0.7291666666666666,0.8974358974358975,,1.0,0.0625,0.05714285714285714,,0.10256410256410256
1.0,0.30434782608695654,1.0,0.5208333333333334,1.0,0.4791666666666667,1.0000 -> 0.4792 -> 0.5208 -> 0.5208,0.4375,1.0,0.4791666666666667,0.30434782608695654,1.0,0.4791666666666667,1767420099.1825664,abstain_update_burst_k8_rate0.34_drop0.2_s3q16_full,3,runs\abstain_update_burst_k8_rate0.34_drop0.2_s3q16_full,abstain_update_burst_k8_rate0.34_drop0.2_s3q16_full,0.0,1.0,0.4791666666666667,0.7777777777777778,,1.0,0.5208333333333334,1.0,1.0,0.14814814814814814
1.0,0.2727272727272727,1.0,0.0625,0.07692307692307693,0.5416666666666666,1.0000 -> 0.5417 -> 0.0625 -> 0.0625,0.375,0.4166666666666667,0.041666666666666664,0.2727272727272727,1.0,0.5416666666666666,1767419959.2953997,abstain_update_burst_k8_rate0.34_drop0.4,3,runs\abstain_update_burst_k8_rate0.34_drop0.4_s3q16,abstain_update_burst_k8_rate0.34_drop0.4_s3q16,0.0,1.0,0.5416666666666666,0.7,,1.0,0.0625,0.07692307692307693,,0.13333333333333333
1.0,0.2727272727272727,1.0,0.6041666666666666,1.0,0.5625,1.0000 -> 0.5625 -> 0.6042 -> 0.6042,0.375,1.0,0.5625,0.2727272727272727,1.0,0.5625,1767420101.0493736,abstain_update_burst_k8_rate0.34_drop0.4_s3q16_full,3,runs\abstain_update_burst_k8_rate0.34_drop0.4_s3q16_full,abstain_update_burst_k8_rate0.34_drop0.4_s3q16_full,0.0,1.0,0.5625,0.9,,1.0,0.6041666666666666,1.0,1.0,0.1
